Timestamp	Filename	Error	Message
2013-08-27 17:31:53.283 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Suchen' (39)
2013-08-27 17:31:53.283 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Gehe zu Formularlayout' (40)
2013-08-27 17:31:53.285 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Gehe zu Listenlayout' (41)
2013-08-27 17:31:53.285 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Fenster anpassen' (42)
2013-08-27 17:31:53.286 -0400	FMPHP_Sample.fmp12	0	  Recovering: script '-' (43)
2013-08-27 17:31:53.286 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Visa exempeldata' (44)
2013-08-27 17:31:53.287 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Sök' (45)
2013-08-27 17:31:53.288 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Gå till formulärlayout' (46)
2013-08-27 17:31:53.289 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Gå till listlayout' (47)
2013-08-27 17:31:53.289 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'Justera fönster' (48)
2013-08-27 17:31:53.290 -0400	FMPHP_Sample.fmp12	0	  Recovering: script '-' (49)
2013-08-27 17:31:53.291 -0400	FMPHP_Sample.fmp12	0	  Recovering: script '-' (50)
2013-08-27 17:31:53.291 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'サンプルデータの表示' (51)
2013-08-27 17:31:53.292 -0400	FMPHP_Sample.fmp12	0	  Recovering: script '検索' (52)
2013-08-27 17:31:53.292 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'フォーム形式に切り替え' (53)
2013-08-27 17:31:53.294 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'リスト形式に切り替え' (54)
2013-08-27 17:31:53.294 -0400	FMPHP_Sample.fmp12	0	  Recovering: script 'ウインドウの調整' (55)
2013-08-27 17:31:53.465 -0400	FMPHP_Sample.fmp12	0	6 layouts were converted.
2013-08-27 17:31:53.466 -0400	FMPHP_Sample.fmp12	0	Updating old layout symbols
2013-08-27 17:31:53.735 -0400	FMPHP_Sample.fmp12	0	Updating old .FP7 file references to .FMP12
2013-08-27 17:31:53.736 -0400	FMPHP_Sample.fmp12	0	  updating .FP7 references in Data Sources
2013-08-27 17:31:53.737 -0400	FMPHP_Sample.fmp12	0	  updating .FP7 references in Scripts
2013-08-27 17:31:53.780 -0400	FMPHP_Sample.fmp12	0	  updating .FP7 references in Buttons
2013-08-27 17:31:53.833 -0400	FMPHP_Sample.fmp12	0	  updating spelling options
2013-08-27 17:31:53.846 -0400	FMPHP_Sample.fmp12	0	Conversion completed.
